date,day,product,region,price,competitor_price,marketing_spend,demand,production,opening_inventory,closing_inventory,sales,stockout,supplier,supplier_delayed,lead_time,revenue,production_cost,inventory_cost,logistics_cost,maintenance_cost,profit,avg_machine_health
2024-01-01,0,A,North,10000.0,10225.448241393606,277365.67953093245,1388.9674096865606,1404.1307077324961,2800.0,2815.163298045936,1388.9674096865606,0,S2,1,13,13889674.096865606,7301479.68020898,33781.95957655123,208345.1114529841,9292.336775477295,6250514.673524954,0.935326287346151
2024-01-01,0,A,South,10000.0,10225.448241393606,277365.67953093245,1542.3344495363694,1643.3978181975965,3136.0000000000005,3237.0633686612277,1542.3344495363694,0,S2,1,13,15423344.495363694,8545668.654627502,38844.760423934735,231350.16743045542,9292.336775477295,6511928.240779664,0.935326287346151
2024-01-01,0,A,East,10000.0,10225.448241393606,277365.67953093245,1307.2759924912257,1374.7543738052107,2464.0,2531.478381313985,1307.2759924912257,0,S2,1,13,13072759.924912257,7148722.743787096,30377.74057576782,196091.39887368385,9292.336775477295,5602015.369573573,0.935326287346151
2024-01-01,0,B,North,25000.0,25611.270669337016,457248.4485288791,887.2505167242381,833.0641238750536,1700.0,1645.8136071508156,887.2505167242381,0,S2,1,13,22181262.918105952,11246365.672313225,19749.763285809786,133087.5775086357,9292.336775477295,10626546.30989683,0.935326287346151
2024-01-01,0,B,South,25000.0,25611.270669337016,457248.4485288791,1072.7986674329893,974.9173250027076,1904.0000000000002,1806.1186575697186,1072.7986674329893,0,S2,1,13,26819966.685824733,13161383.887536552,21673.423890836624,160919.8001149484,9292.336775477295,13320475.979180945,0.935326287346151
2024-01-01,0,B,East,25000.0,25611.270669337016,457248.4485288791,835.1791774660161,865.7549123070258,1496.0,1526.5757348410098,835.1791774660161,0,S2,1,13,20879479.436650403,11687691.316144848,18318.908818092117,125276.87661990241,9292.336775477295,8892678.73996611,0.935326287346151
2024-01-01,0,C,North,5000.0,4959.358498361538,230330.14325526077,2225.6276647048653,2212.076178974054,4600.0,4586.448514269188,2225.6276647048653,0,S2,1,13,11128138.323524326,5751398.06533254,55037.38217123026,333844.1497057298,9292.336775477295,4907984.566304579,0.935326287346151
2024-01-01,0,C,South,5000.0,4959.358498361538,230330.14325526077,2907.095602310944,2691.924889441123,5152.000000000001,4936.82928713018,2907.095602310944,0,S2,1,13,14535478.01155472,6999004.7125469195,59241.95144556216,436064.34034664155,9292.336775477295,6961292.84720535,0.935326287346151
2024-01-01,0,C,East,5000.0,4959.358498361538,230330.14325526077,1954.130562639479,1847.3996051613237,4048.0,3941.269042521845,1954.130562639479,0,S2,1,13,9770652.813197395,4803238.973419442,47295.22851026214,293119.58439592185,9292.336775477295,4547124.866861522,0.935326287346151
2024-01-02,1,A,North,10000.0,10058.82966212597,365940.3426368128,1364.253916554565,1440.8510525670224,2815.163298045936,2891.760434058393,1364.253916554565,0,S2,0,8,13642539.16554565,7492425.473348517,34701.125208700716,204638.08748318473,9554.73592241377,5785609.453318839,0.9346986426685377
