date,day,product,price,competitor_price,marketing_spend,demand,production,opening_inventory,closing_inventory,sales,stockout,supplier,supplier_delayed,lead_time,revenue,production_cost,inventory_cost,logistics_cost,maintenance_cost,profit,avg_machine_health
2024-01-01,0,A,10000.0,10225.448241393606,277365.67953093245,12961.675917749471,13811.00573213353,8400.0,9249.329814384058,12961.675917749471,0,S2,1,13,129616759.17749472,71817229.80709435,110991.9577726087,1944251.3876624207,9292.336775477295,55457628.00865894,0.935326287346151
2024-01-01,0,B,25000.0,24907.56881822737,241810.38725194734,8256.951627910817,7752.680944250289,5200.0,4695.729316339472,8256.951627910817,0,S2,1,13,206423790.69777045,104661192.7473789,56348.75179607366,1238542.7441866226,9292.336775477295,100216603.73038143,0.935326287346151
2024-01-01,0,C,5000.0,5036.544406436407,161715.79682701913,23273.256331100558,20979.25938725798,14000.0,11706.003056157417,23273.256331100558,0,S2,1,13,116366281.6555028,54546074.406870745,140472.036673889,3490988.4496650835,9292.336775477295,58017738.628690585,0.935326287346151
2024-01-02,1,A,9700.0,10024.339495544327,215331.24157209764,15300.72821563128,13793.185011770212,9249.329814384058,7741.786610522991,15300.72821563128,0,S1,0,5,148417063.69162342,71724562.0612051,92901.4393262759,2295109.232344692,9516.473049189422,74079643.24412607,0.9347394086633786
2024-01-02,1,B,25000.0,25318.175677330564,382066.15145053406,8335.13922358878,7734.670789716663,4695.729316339472,4095.2608824673553,8335.13922358878,0,S1,0,5,208378480.5897195,104418055.66117495,49143.13058960826,1250270.883538317,9516.473049189422,102269428.2899169,0.9347394086633786
2024-01-02,1,C,5000.0,4913.9082301195185,288438.48245725303,21446.66435607201,20966.783943026163,11706.003056157417,11226.122643111568,21446.66435607201,0,S1,0,5,107233321.78036006,54513638.251868024,134713.47171733883,3216999.6534108017,9516.473049189422,49070015.44785746,0.9347394086633786
2024-01-03,2,A,10000.0,9916.532380626839,413559.2836425654,14202.655022947794,13256.681276577698,7741.786610522991,6795.8128641528965,14202.655022947794,0,S1,0,5,142026550.22947794,68934742.63820402,81549.75436983476,2130398.253442169,9697.73144266205,70456602.56837669,0.9343106144623305
2024-01-03,2,B,25000.0,24814.092879211436,388943.7402385801,8621.176782192008,8021.68101668433,4095.2608824673553,3495.7651169596775,8621.176782192008,0,S1,0,5,215529419.55480018,108292693.72523846,41949.18140351613,1293176.517328801,9697.73144266205,105502958.65914817,0.9343106144623305
2024-01-03,2,C,5000.0,5067.551818599458,252408.490438593,22118.72982772825,20294.59782191043,11226.122643111568,9401.990637293748,22118.72982772825,0,S1,0,5,110593649.13864125,52765954.33696712,112823.88764752497,3317809.4741592375,9697.73144266205,54134955.217986114,0.9343106144623305
2024-01-04,3,A,10000.0,9657.43227613614,222382.649660261,12538.918174278006,13187.229220489311,6795.8128641528965,7444.1239103642,12538.918174278006,0,S1,0,5,125389181.74278006,68573591.94654442,89329.4869243704,1880837.7261417008,9968.067310013696,54613071.86619929,0.9337540552664759
2024-01-04,3,B,25000.0,25123.873007109054,350923.53628097725,8585.788410931431,8441.216444785474,3495.7651169596775,3351.1931508137204,8585.788410931431,0,S1,0,5,214644710.27328578,113956422.0046039,40214.317809764645,1287868.2616397147,9968.067310013696,98999314.08564141,0.9337540552664759
2024-01-04,3,C,5000.0,5137.459533151301,231944.48493311412,23608.26756242001,20943.00985163641,9401.990637293748,6736.732926510147,23608.26756242001,0,S1,0,5,118041337.81210005,54451825.61425466,80840.79511812176,3541240.134363001,9968.067310013696,59725518.71612114,0.9337540552664759
2024-01-05,4,A,9700.0,9806.013212944024,289395.7604227815,13364.557129294368,13201.272873554695,7444.1239103642,7280.839654624528,13364.557129294368,0,S1,0,5,129636204.15415537,68646618.94248441,87370.07585549433,2004683.5693941552,10122.287694737619,58598013.5183038,0.9333626775484627
2024-01-05,4,B,25000.0,25543.20331143998,458464.30873590667,7696.538040157252,7961.668525781479,3351.1931508137204,3616.3236364379472,7696.538040157252,0,S1,0,5,192413451.0039313,107482525.09804997,43395.88363725536,1154480.7060235878,10122.287694737619,83264462.71978986,0.9333626775484627
2024-01-05,4,C,5000.0,5030.07990416582,390797.845714753,22482.384742393766,20933.572359532995,6736.732926510147,5187.920543649376,22482.384742393766,0,S1,0,5,112411923.71196882,54427288.134785786,62255.04652379251,3372357.711359065,10122.287694737619,54149102.68589069,0.9333626775484627
2024-01-06,5,A,10000.0,9759.756286670174,496950.2256223348,13354.006040236201,14404.823800843382,7280.839654624528,8331.65741523171,13354.006040236201,0,S3,0,3,133540060.40236202,74905083.76438558,99979.88898278051,2003100.9060354303,10355.202403604024,56024590.41493229,0.9326952457786348
